model,data_name,random,train_acc,test_acc,tp_train,tn_train,fn_train,fp_train,tp_test,tn_test,fn_test,fp_test
GaussianNB,paper,0,0.5463246049786279,0.5488714668084056,176765,158999,126801,152022,176765,158999,126801,152022
BernoulliNB,paper,0,0.5142949655622393,0.515275536741396,39521,276558,264045,34463,39521,276558,264045,34463
GaussianNB,paper,1,0.5465735526459232,0.5474097837848099,177516,158401,126055,152615,177516,158401,126055,152615
BernoulliNB,paper,1,0.5140899498362315,0.5157539057309364,39300,276653,264271,34363,39300,276653,264271,34363
GaussianNB,paper,2,0.5474977505218952,0.5455342736194688,178237,158248,125327,152775,178237,158248,125327,152775
BernoulliNB,paper,2,0.5146366584389191,0.5144782550921619,39406,276883,264158,34140,39406,276883,264158,34140
GaussianNB,paper,3,0.5467378906485169,0.5470453121737314,177145,158873,126140,152429,177145,158873,126140,152429
BernoulliNB,paper,3,0.5150287916926326,0.5135632794851839,39459,277071,263826,34231,39459,277071,263826,34231
GaussianNB,paper,4,0.5471918540418199,0.5466011123977297,177460,158837,125935,152355,177460,158837,125935,152355
BernoulliNB,paper,4,0.5146041162601878,0.5145541866778033,39380,276889,264015,34303,39380,276889,264015,34303
GaussianNB,paper,5,0.5472878534690776,0.5458076273277777,177953,158403,125628,152603,177953,158403,125628,152603
BernoulliNB,paper,5,0.5146268957852997,0.5145010345678543,39474,276809,264107,34197,39474,276809,264107,34197
GaussianNB,paper,6,0.5468631780366328,0.5468744661060385,178679,157416,125055,153437,178679,157416,125055,153437
BernoulliNB,paper,6,0.5144121174056724,0.5150021830330872,39574,276577,264160,34276,39574,276577,264160,34276
GaussianNB,paper,7,0.5469608045728269,0.5462138613109588,178592,157563,124998,153434,178592,157563,124998,153434
BernoulliNB,paper,7,0.5144039818609896,0.5150211659294975,39450,276696,264140,34301,39450,276696,264140,34301
GaussianNB,paper,8,0.547146294991596,0.5454165796617247,178293,157976,125051,153267,178293,157976,125051,153267
BernoulliNB,paper,8,0.5146301500031729,0.5144934414092902,39352,276933,263992,34310,39352,276933,263992,34310
GaussianNB,paper,9,0.5467850768076774,0.5468820592646025,177199,158848,125923,152617,177199,158848,125923,152617
BernoulliNB,paper,9,0.5149669615530429,0.5137075494979024,39420,277072,263702,34393,39420,277072,263702,34393
GaussianNB,catPdDistrict,0,0.5521529091894232,0.5542815922853509,176466,162880,127100,148141,176466,162880,127100,148141
BernoulliNB,catPdDistrict,0,0.550172717613617,0.5518745610205205,150359,187770,153207,123251,150359,187770,153207,123251
GaussianNB,catPdDistrict,1,0.5520780621783409,0.5536133943317071,178059,161241,125512,149775,178059,161241,125512,149775
